"","Infections vs Population","Infections vs Pop_density","Infections vs Ln_Pop","Infections vs Ln_Pop_density"
"Pearson",1.42578456053473e-39,2.10910524895685e-30,5.43543081375853e-12,1.09606095112724e-11
"Kendall",4.89187510076011e-14,1.33173100611171e-13,4.89187510076011e-14,1.33173100611171e-13
"Spearman",1.72794423970183e-15,1.07362853037614e-14,1.72794423970183e-15,1.07362853037614e-14
