county,area,l_2018,pop_2010,pop_2018,pop_density,ln_2018_pop,ln_pop_density,pop_dif,abs_pop_dif,l_2017,inf_dif
Summit,419.38,39,541464,541318,1290.757785,13.20176219,7.162984755,-146,146,29,10
Trumbull,616.48,18,207596,203341,329.8420062,12.22263965,5.798613771,-4255,4255,9,9
Tuscarawas,567.58,5,92616,92531,163.0272385,11.435299,5.093917294,-85,85,0,5
Union,436.65,4,53090,54688,125.244475,10.90939959,4.830267627,1598,1598,4,0
Van_Wert,410.09,2,28612,28262,68.91657929,10.24927343,4.232896777,-350,350,0,2
Vinton,414.08,1,13319,13142,31.73782844,9.483568487,3.457509296,-177,177,0,1
Warren,399.63,9,217623,223868,560.1881741,12.31881187,6.328272752,6245,6245,5,4
Washington,635.15,4,61473,60871,95.83720381,11.01651215,4.562650958,-602,602,0,4
Wayne,555.36,11,114978,115915,208.7204696,11.66061244,5.340995891,937,937,5,6
Williams,421.74,0,37493,37061,87.87641675,10.52032048,4.475931472,-432,432,1,-1
Wood,617.32,3,128139,129504,209.7842286,11.77146705,5.34607952,1365,1365,2,1
Wyandot,405.61,1,22535,22190,54.70772417,10.00739702,4.002004909,-345,345,0,1
